Base Image,Generated Image,Similarity Raw,Similarity (%)
76_h5_data,76_h5_data,0, 0
77_h5_data,77_h5_data,0, 0
78_h5_data,78_h5_data,0.8,80
79_h5_data,79_h5_data,0.9,90
83_h5_data,Not found,0,0
84_h5_data,84_h5_data,0,0
87_h5_data,87_h5_data,0.1,10
95_h5_data,95_h5_data,0.4,40
96_h5_data,Not found,0,0
97_h5_data,Not found,0,0
99_h5_data,Not found,0,0
100_h5_data,Not found,0,0
