Base Image,Generated Image,Similarity Raw,Similarity (%)
76_h5_data,76_h5_data,.9,.9
77_h5_data,77_h5_data,.8,.8
78_h5_data,Not found,0,0
79_h5_data,Not found,0,0
83_h5_data,Not found,0,0
84_h5_data,84_h5_data,0.3,0.3
87_h5_data,Not found,0,0
95_h5_data,Not found,0,0
96_h5_data,Not found,0,0
97_h5_data,Not found,0,0
99_h5_data,Not found,0,0
100_h5_data,Not found,0,0





