Base Image,Generated Image,Similarity Raw,Similarity (%)
5_fastMRI_brain_first_10_dcm_to_h5.h5.png,5_fastMRI_brain_first_10_dcm_to_h5.png,0.4663,46.63
9_fastMRI_brain_first_10_dcm_to_h5.h5.png,9_fastMRI_brain_first_10_dcm_to_h5_brain_mask.png,0.691,69.1
3_fastMRI_brain_first_10_dcm_to_h5.h5.png,3_fastMRI_brain_first_10_dcm_to_h5.png,0.9331,93.31
7_fastMRI_brain_first_10_dcm_to_h5.h5.png,7_fastMRI_brain_first_10_dcm_to_h5.png,1.0,100.0
8_fastMRI_brain_first_10_dcm_to_h5.h5.png,8_fastMRI_brain_first_10_dcm_to_h5.png,1.0,100.0
2_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
6_fastMRI_brain_first_10_dcm_to_h5.h5.png,6_fastMRI_brain_first_10_dcm_to_h5.png,0.7247,72.47
10_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
1_fastMRI_brain_first_10_dcm_to_h5.h5.png,1_fastMRI_brain_first_10_dcm_to_h5.png,0.7336,73.36
4_fastMRI_brain_first_10_dcm_to_h5.h5.png,4_fastMRI_brain_first_10_dcm_to_h5.png,0.9487,94.87
0_fastMRI_brain_first_10_dcm_to_h5.h5.png,0_fastMRI_brain_first_10_dcm_to_h5.png,0.9444,94.44
