llm_model_name,corrector,rag,llm_model
deepseek_r1_32b,0.16571736335754395,1.0373985767364502,68.7099449634552
deepseek_r1_32b,0.1210019588470459,0.436248779296875,95.7014217376709
deepseek_r1_32b,0.1837146282196045,0.40386009216308594,74.85189771652222
deepseek_r1_32b,0.09849286079406738,0.4091756343841553,70.78488636016846
deepseek_r1_32b,0.09776020050048828,0.4010884761810303,50.55314660072327
deepseek_r1_32b,0.08706998825073242,0.4630012512207031,53.885884523391724
deepseek_r1_32b,0.12530994415283203,0.41902995109558105,83.08812999725342
deepseek_r1_32b,0.10821962356567383,0.7351565361022949,81.76778888702393
deepseek_r1_32b,0.08915829658508301,0.39869141578674316,49.31968688964844
deepseek_r1_32b,0.17975068092346191,0.40799665451049805,59.3199188709259
deepseek_r1_32b,0.10004472732543945,0.41917848587036133,65.67244052886963
