llm_model_name,corrector,rag,llm_model
gemma3_27b,0.17086458206176758,1.0593764781951904,29.022873640060425
gemma3_27b,0.12090802192687988,0.36501240730285645,31.645509958267212
gemma3_27b,0.20055270195007324,0.39602041244506836,36.91604542732239
gemma3_27b,0.11119318008422852,0.4010274410247803,33.91880249977112
gemma3_27b,0.10461139678955078,0.4019782543182373,23.959909200668335
gemma3_27b,0.090301513671875,0.42947912216186523,25.012410402297974
gemma3_27b,0.23875665664672852,0.39922499656677246,31.49156165122986
gemma3_27b,0.11254596710205078,0.6972019672393799,37.4541392326355
gemma3_27b,0.090301513671875,0.4050867557525635,29.701053857803345
gemma3_27b,0.17066478729248047,0.43308186531066895,30.838358402252197
gemma3_27b,0.09971952438354492,0.4111771583557129,32.06004810333252
