Base Image,Generated Image,Similarity Raw,Similarity (%)
0_fastmri_brain_first_10_dcm_to_h5.h5,0_fastmri_brain_first_10_dcm_to_h5,0.9573,95.73
1_fastmri_brain_first_10_dcm_to_h5.h5,1_fastmri_brain_first_10_dcm_to_h5,0.5432,54.32
2_fastmri_brain_first_10_dcm_to_h5.h5,Not found,0,0
3_fastmri_brain_first_10_dcm_to_h5.h5,3_fastmri_brain_first_10_dcm_to_h5,0.9531,95.31
4_fastmri_brain_first_10_dcm_to_h5.h5,4_fastmri_brain_first_10_dcm_to_h5,0.957,95.7
5_fastmri_brain_first_10_dcm_to_h5.h5,5_fastmri_brain_first_10_dcm_to_h5,0.3134,31.34
6_fastmri_brain_first_10_dcm_to_h5.h5,6_fastmri_brain_first_10_dcm_to_h5,0.10,10
7_fastmri_brain_first_10_dcm_to_h5.h5,7_fastmri_brain_first_10_dcm_to_h5,1.0,100.0
8_fastmri_brain_first_10_dcm_to_h5.h5,8_fastmri_brain_first_10_dcm_to_h5,1.0,100.0
9_fastmri_brain_first_10_dcm_to_h5.h5,9_fastmri_brain_first_10_dcm_to_h5_brain_mask,0.20,20
10_fastmri_brain_first_10_dcm_to_h5.h5,Not found,0,0
