Base Image,Generated Image,Similarity Raw,Similarity (%)
76_h5_data,76_h5_data,0,0
77_h5_data,77_h5_data,0.2,20
78_h5_data,Not found,0.6,60
79_h5_data,Not found,0.3,30
83_h5_data,Not found,0,0
84_h5_data,84_h5_data,0,0
87_h5_data,Not found,0,0
95_h5_data,Not found,0.5,50
96_h5_data,Not found,0,0
97_h5_data,Not found,0,0
99_h5_data,Not found,0,0
100_h5_data,Not found,0,0
