Base Image,Generated Image,Similarity Raw,Similarity (%)
76_h5_data,76_h5_data,0,0
77_h5_data,77_h5_data,0,0
78_h5_data,Not found,0,0
79_h5_data,Not found,0,0
83_h5_data,Not found,0,0
84_h5_data,84_h5_data,0.10,10
87_h5_data,Not found,0.9,90
95_h5_data,Not found,0,0
96_h5_data,Not found,0.6,60
97_h5_data,Not found,0.4,40
99_h5_data,Not found,0.3,30
100_h5_data,Not found,0,0
