llm_model_name,corrector,rag,llm_model
deepseek_r1_32b,0.0246274471282959,0.9463081359863281,49.474250078201294
deepseek_r1_32b,0.03605508804321289,0.4728515148162842,81.8774242401123
deepseek_r1_32b,0.01763153076171875,0.4084818363189697,82.31638741493225
deepseek_r1_32b,0.04169273376464844,0.3920590877532959,86.61193680763245
deepseek_r1_32b,0.02168869972229004,0.4218449592590332,72.09221816062927
deepseek_r1_32b,0.026733875274658203,0.4391152858734131,74.13736176490784
deepseek_r1_32b,0.04033470153808594,0.4372060298919678,96.57522130012512
deepseek_r1_32b,0.05853414535522461,0.703230619430542,99.33703875541687
deepseek_r1_32b,0.056507110595703125,0.394481897354126,85.97461438179016
deepseek_r1_32b,0.02162957191467285,0.431077241897583,57.08204889297485
deepseek_r1_32b,0.03488945960998535,0.3669729232788086,73.44694256782532
deepseek_r1_32b,0.024570226669311523,0.36537837982177734,71.44704604148865
